"Date","USD..AM.","USD..PM.","GBP..AM.","GBP..PM.","EURO..AM.","EURO..PM."
"1968",38.8294672131148,39.8228421052632,16.2178962655602,16.7793048128342,NA,NA
"1969",41.0998818897638,41.1126482213439,17.1954488188976,17.2011106719368,NA,NA
"1970",35.9636862745098,35.9502362204724,15.0121098039216,15.0064448818898,NA,NA
"1971",40.8067984189723,40.8212648221344,16.6732088353414,16.6762016129032,NA,NA
"1972",58.1737795275591,58.2305905511811,23.379253968254,23.4043928571429,NA,NA
"1973",97.1173517786561,97.3157312252964,39.5427063492063,39.6221349206349,NA,NA
"1974",158.763582677165,158.84604743083,67.8193149606299,67.8330434782609,NA,NA
"1975",160.86594488189,160.877470355731,72.3515039370079,72.3260355731225,NA,NA
"1976",124.801764705882,124.772047244094,69.351137254902,69.3293700787402,NA,NA
"1977",147.838174603175,147.792749003984,84.6247341269841,84.620764940239,NA,NA
"1978",193.574007936508,193.443650793651,100.681123015873,100.605904761905,NA,NA
"1979",307.008695652174,304.6824,144.048375494071,143.029324,NA,NA
"1980",614.752559055118,614.499007936508,263.791161417323,263.699412698413,NA,NA
"1981",459.163346613546,459.260040160643,226.851752988048,226.826726907631,NA,NA
"1982",375.965691699605,375.304581673307,215.930249011858,215.405179282869,NA,NA
"1983",423.707341269841,423.6636,279.17996031746,279.06366,NA,NA
"1984",360.654682539683,360.78422310757,269.70425,269.658804780876,NA,NA
"1985",317.424505928854,317.295238095238,246.075675889328,245.776924603175,NA,NA
"1986",368.198023715415,367.854980079681,251.277114624506,251.034860557769,NA,NA
"1987",446.836758893281,446.223705179283,272.638023715415,272.460677290837,NA,NA
"1988",436.784387351779,436.858167330677,245.437786561265,245.57625498008,NA,NA
"1989",381.267857142857,380.8202,232.903650793651,232.59816,NA,NA
"1990",383.732608695652,383.564541832669,215.976126482213,215.962111553785,NA,NA
"1991",362.341106719368,362.256972111554,205.440434782609,205.42390438247,NA,NA
"1992",343.868700787402,343.949206349206,195.636062992126,195.432023809524,NA,NA
"1993",360.04743083004,359.815139442231,239.884466403162,239.657729083665,NA,NA
"1994",384.159325396825,384.1514,250.813928571429,250.77144,NA,NA
"1995",384.070634920635,384.0532,243.287619047619,243.26928,NA,NA
"1996",387.734842519685,387.867857142857,248.648661417323,248.841785714286,NA,NA
"1997",330.996837944664,331.294820717131,202.14,202.353266932271,NA,NA
"1998",294.12233201581,294.087051792829,177.523790513834,177.444119521912,NA,NA
"1999",278.862698412698,278.572709163347,172.279353174603,172.08574501992,261.634182539683,261.366741035857
"2000",279.289682539683,279.102,184.452297619048,184.30102,302.611888888889,302.63958
"2001",271.190118577075,271.035856573705,188.298770750988,188.234183266932,302.841225296443,302.801725099602
"2002",310.075992063492,309.6772,206.282884920635,206.12638,328.164456349206,328.054804
"2003",363.83162055336,363.320916334661,222.403723320158,222.194231075697,321.516114624506,321.251418326693
"2004",409.532283464567,409.16626984127,223.442051181102,223.311420634921,329.591862204724,329.064
"2005",444.987896825397,444.4478,245.186984126984,244.8459,358.698527777778,358.31678
"2006",604.337896825397,603.7722,327.830011904762,327.636856,480.721257936508,480.519684
"2007",696.431225296443,695.386454183267,347.592822134387,347.012227091633,507.444581027668,506.833852589641
"2008",872.372244094488,871.962698412698,472.659633858268,471.485031746032,593.429330708661,593.084317460317
"2009",973.658102766798,972.348605577689,621.984699604743,621.432083665339,697.529924901186,696.920378486056
"2010",1226.66462450593,1224.52091633466,793.655324110672,792.443721115538,926.31938339921,925.110876494024
"2011",1573.15996015936,1571.52008032129,981.866701195219,980.650425702811,1131.01257768924,1129.69887550201
"2012",1668.85714285714,1668.9804,1052.75205555556,1053.007184,1298.0055515873,1298.665624
"2013",1409.50592885375,1411.22569721116,902.291683794466,903.453346613546,1062.16626086957,1063.78622310757
"2014",1266.06264822134,1266.40239043825,768.21961660079,768.135043824701,953.069339920949,952.879211155378
"2015",1159.82114624506,1160.06235059761,758.69223715415,758.839625498008,1044.97424901186,1045.22513545817
"2016",1249.84407114625,1250.79800796813,926.767264822134,927.166055776892,1128.50383003953,1129.3069561753
"2017",1257.85972222222,1257.1454,976.759841269841,976.4864,1114.57488095238,1114.31572
"2018",1268.92885375494,1268.48665338645,950.198656126482,949.532908366534,1074.04798418972,1073.55784860558
"2019",1393.71383399209,1392.59601593626,1093.97110671937,1093.07354581673,1245.70612648221,1244.77980079681
"2020",1771.04212598425,1769.58988095238,1379.37358267717,1378.84142857143,1549.45421259843,1548.86400793651
"2021",1801.00079787234,1800.0204787234,1300.18015957447,1299.53186170213,1505.12468085106,1504.40888297872
